AUGE,'Organ zum Sehen'
BLAU,'Farbe des Himmels'
DUFT,'angenehmer Geruch'
GELB,'Farbe der Zitrone'
GRUEN,'Farbe des Grases'
HAND,'Tastorgan des Menschen'
HART,'nicht nachgebend'
HAUT,'äußere Körperhülle'
HELL,'voller Beleuchtung'
LIED,'gesungenes Musikstück'
LUFT,'riecht man draußen'
LUPE,'Glas zum Vergrößern'
MOND,'Nachtgestirn am Himmel'
MUND,'zum Schmecken da'
NASE,'Organ zum Riechen'
OHR,'Organ zum Hören'
ROT,'Farbe der Liebe'
SALZ,'weißes Würzmittel'
SUESS,'Geschmack von Zucker'
TEE,'warmes Aufgussgetränk'
TON,'einzelner Klang'
UHR,'Gerät zur Zeitanzeige'
WARM,'angenehme Temperatur'
WEIN,'Getränk aus Trauben'
WEISS,'Farbe von Schnee'
WIND,'spürbare Luftbewegung'
APFEL,'süße Kernfrucht'
BITTER,'herber Geschmack'
BLUME,'riechende Pflanze'
BRILLE,'Sehhilfe aus Glas'
DUNKEL,'ohne Beleuchtung'
FOTO,'aufgenommenes Bild'
FUEHLEN,'mit Haut wahrnehmen'
GERUCH,'Eindruck der Nase'
GESICHT,'Vorderseite des Kopfes'
GLATT,'Oberfläche ohne Unebenheit'
KAFFEE,'dunkles Heißgetränk'
KLANG,'hörbarer Eindruck'
LICHT,'macht Dunkelheit weg'
MUSIK,'geordnete Töne'
RADIO,'Gerät für Töne'
RIECHEN,'mit Nase wahrnehmen'
SALZIG,'Geschmack von Meerwasser'
SAUER,'Geschmack der Zitrone'
SPRACHE,'gehörtes Kommunikationsmittel'
STERN,'Lichtpunkt am Nachthimmel'
STILL,'ohne jedes Geräusch'
STIMME,'menschlicher Sprechklang'
WEICH,'gibt bei Druck nach'
ZUNGE,'Muskel zum Schmecken'
AUSSEHEN,'äußeres Bild'
BELEUCHTUNG,'künstliche Helligkeit'
BEOBACHTEN,'längere Zeit ansehen'
BERUEHREN,'körperlichen Kontakt herstellen'
DURCHSICHTIG,'man sieht hindurch'
EMPFINDEN,'etwas innerlich fühlen'
ERKENNEN,'etwas wiedersehen'
FERNSEHER,'Gerät für Bilder'
FLUESTERN,'sehr leise sprechen'
GERAEUSCH,'ungeordneter Klang'
GERUCHLOS,'ohne eigenen Duft'
GESCHMACK,'Eindruck im Mund'
HAESSLICH,'nicht ansprechend'
KOPFHOERER,'Lautsprecher für Ohren'
LAUSCHEN,'aufmerksam hinhören'
LAUTSPRECHER,'Gerät für Lautstärke'
MIKROFON,'Gerät für Tonaufnahme'
NACHRICHT,'gehörte Information'
PARFUEM,'Duftwasser zum Auftragen'
REGENBOGEN,'bunter Bogen am Himmel'
SCHATTEN,'Bereich ohne Licht'
SCHMECKEN,'mit Zunge prüfen'
SCHMERZEN,'starkes Wehtun'
SCHREIEN,'sehr laut rufen'
SCHWARZ,'Farbe ohne Licht'
SPIEGEL,'zeigt eigenes Bild'
TASTSINN,'Fähigkeit zum Fühlen'
TELEFON,'Gerät zum Sprechen'
TEMPERATUR,'gefühlter Wärmegrad'
UNSICHTBAR,'nicht zu sehen'
WAHRNEHMEN,'mit Sinnen erfassen'
ZEICHNUNG,'gemaltes Linienbild'
ZITRONE,'gelbe saure Frucht'
ZUSCHAUEN,'mit Augen verfolgen'
