GURTEL,'Hosenhalter'
T-SHIRT,'kurzärmliges Oberteil'
REGENJACKE,'schützt vor Nässe'
WINTERMANTEL,'sehr warme Jacke'
LEDERJACKE,'Jacke aus Tierhaut'
UMKLEIDEKABINE,'Raum zum Anziehen'
BUgel,'Halter für Hemden'
GEKARIERT,'mit Quadraten'
GEBLUEMT,'mit Blumenmuster'
AENDERN,'Kleidung anpassen'
DESIGNER,'Modeschöpfer'
KOLLEKTION,'neue Mode-Linie'
LEINEN,'Stoff aus Flachs'
SYNTHETIK,'künstlicher Stoff'
WASSERDICHT,'lässt kein Wasser durch'
SCHNITT,'Form der Kleidung'
SANDALE,'offener Sommerschuh'
TURN SCHUH,'Schuh für Sport'
