HOLZ,'Material aus Bäumen'
LEIM,'klebriger Stoff'
ZAUN,'Grundstücksbegrenzung'
ROHR,'länglicher Hohlkörper'
GIPS,'weisses Baumaterial'
FUGE,'schmaler Zwischenraum'
KEIL,'dreieckiges Spaltwerkzeug'
LOCH,'leere Öffnung'
ROST,'rote Metallkorrosion'
STAB,'langer dünner Gegenstand'
FADEN,'dünner Faserstrang'
KITT,'dichtende Masse'
SACK,'großer Beutel'
SIEB,'Gerät zum Filtern'
SPAN,'abgehobeltes Holzstück'
NAGEL,'metallischer Stift'
WAND,'senkrechte Raumbegrenzung'
ZANGE,'Greif- und Kneifwerkzeug'
FEILE,'raues Glättwerkzeug'
KISTE,'viereckiger Behälter'
DRAHT,'dünner Metallfaden'
BRETT,'flaches Holzstück'
HAKEN,'gebogenes Aufhängeelement'
KABEL,'elektrische Leitung'
MAUER,'Wand aus Steinen'
KETTE,'Reihe von Gliedern'
DACH,'Hausabdeckung'
BAUEN,'etwas errichten'
SAEGE,'Werkzeug mit Zähnen'
HOBEL,'Werkzeug zur Holzglättung'
AKKU,'aufladbarer Speicher'
STAHL,'sehr hartes Eisen'
LACK,'glänzender Schutzanstrich'
FETT,'dickes Schmiermittel'
HAMMER,'Werkzeug mit Kopf'
BOHRER,'drehender Lochmacher'
SCHAUFEL,'Grab- und Hebewerkzeug'
LEITER,'klappbare Aufstiegshilfe'
WINKEL,'Messgerät für Ecken'
DUEBEL,'Wandbefestigung'
STECKER,'Verbindung zur Dose'
SCHALTER,'Stromkreisunterbrecher'
SCHERE,'Schneidwerkzeug'
SPACHTEL,'flaches Streichwerkzeug'
MEISSEL,'Werkzeug zum Spalten'
METALL,'glänzender Werkstoff'
KELLER,'Raum unter dem Haus'
GARAGE,'Abstellraum für Auto'
SCHLAUCH,'flexibles Rohr'
KUPFER,'rötliches Metall'
ZEMENT,'Bindemittel für Beton'
TAPETE,'Wandverkleidung'
FLIESE,'keramische Wandplatte'
SCHRAUBE,'Befestigung mit Gewinde'
KLEBEBAND,'haftender Streifen'
